STN_NAME,STN_NO,Latitude,Longitude
EUNOS MRT STATION,EW7,1.319778952,103.9032525
CHINESE GARDEN MRT STATION,EW25,1.342352821,103.7325967
KHATIB MRT STATION,NS14,1.41738337,103.8329799
KRANJI MRT STATION,NS7,1.425177699,103.7621654
REDHILL MRT STATION,EW18,1.289562726,103.8168167
YEW TEE MRT STATION,NS5,1.397535018,103.7474051
PIONEER MRT STATION,EW28,1.337586882,103.6973215
COMMONWEALTH MRT STATION,EW20,1.302438735,103.7983045
PAYA LEBAR MRT STATION,EW8/CC9,1.318112082,103.8930604
SIMEI MRT STATION,EW3,1.343202895,103.9533717
TAMPINES MRT STATION,EW2/DT32,1.353301356,103.9451487
ADMIRALTY MRT STATION,NS10,1.440585001,103.800988
YISHUN MRT STATION,NS13,1.429443081,103.835005
PASIR RIS MRT STATION,EW1,1.372983774,103.9492681
CLEMENTI MRT STATION,EW23,1.314954492,103.7652989
ALJUNIED MRT STATION,EW9,1.316432612,103.882906
ANG MO KIO MRT STATION,NS16,1.369347304,103.849933
EXPO MRT STATION,CG1/DT35,1.334549778,103.9615482
CHOA CHU KANG MRT STATION,NS4/BP1,1.385361693,103.7443409
JURONG EAST MRT STATION,EW24/NS1,1.33315262,103.7422865
QUEENSTOWN MRT STATION,EW19,1.294860933,103.8058843
TUAS LINK MRT STATION,EW33,1.340463766,103.6368787
GUL CIRCLE MRT STATION,EW30,1.319505215,103.660553
WOODLANDS MRT STATION,NS9/TE2,1.436875128,103.7864851
TUAS CRESCENT MRT STATION,EW31,1.321026553,103.6490755
KALLANG MRT STATION,EW10,1.31148891,103.8713865
TUAS WEST ROAD MRT STATION,EW32,1.329989089,103.6396141
BUONA VISTA MRT STATION,EW21/CC22,1.307183467,103.7901915
DOVER MRT STATION,EW22,1.311405293,103.7786378
SEMBAWANG MRT STATION,NS11,1.449050821,103.8200461
KEMBANGAN MRT STATION,EW6,1.321038249,103.9129494
BUKIT BATOK MRT STATION,NS2,1.349034109,103.7495668
BOON LAY MRT STATION,EW27,1.338604055,103.7060646
BUKIT GOMBAK MRT STATION,NS3,1.358761857,103.7518935
MARSILING MRT STATION,NS8,1.432514421,103.7740715
BEDOK MRT STATION,EW5,1.323979969,103.9299845
JOO KOON MRT STATION,EW29,1.327717173,103.6783751
LAKESIDE MRT STATION,EW26,1.344259249,103.7209493
TANAH MERAH MRT STATION,EW4/CG0,1.327187135,103.9463465
YIO CHU KANG MRT STATION,NS15,1.381756046,103.8449473
OASIS LRT STATION,PE6,1.402286677,103.9127274
SAM KEE LRT STATION,PW1,1.409612685,103.9048316
FARMWAY LRT STATION,SW2,1.397170196,103.8893048
KUPANG LRT STATION,SW3,1.398212828,103.8812562
RENJONG LRT STATION,SW8,1.386723922,103.8905394
FAJAR LRT STATION,BP10,1.384520796,103.7708086
SAMUDERA LRT STATION,PW4,1.415901719,103.9021563
NIBONG LRT STATION,PW5,1.411870458,103.9003138
SOO TECK LRT STATION,PW7,1.405088585,103.8972097
KADALOOR LRT STATION,PE5,1.399584853,103.9164867
CORAL EDGE LRT STATION,PE3,1.393909226,103.9125809
THANGGAM LRT STATION,SW4,1.397318155,103.8756352
KEAT HONG LRT STATION,BP3,1.378602766,103.7490555
DAMAI LRT STATION,PE7,1.405234836,103.9086035
COVE LRT STATION,PE1,1.399281985,103.9059619
RIVIERA LRT STATION,PE4,1.394524496,103.9161661
SENJA LRT STATION,BP13,1.382692296,103.7623672
JELAPANG LRT STATION,BP12,1.386703025,103.7645033
PETIR LRT STATION,BP7,1.377750334,103.766669
TECK WHYE LRT STATION,BP4,1.376684679,103.7537122
